
CIRCUIT ELEMENT POWER FLOW

(Power Flow into element from indicated Bus)

Power Delivery Elements

  Bus Phase     kW     +j   kvar         kVA         PF

ELEMENT = "Vsource.SOURCE"
0         1      -162.4 +j   -129.0      207.3       0.7831
0         2      -162.4 +j   -129.0      207.3       0.7831
0         3      -162.4 +j   -129.0      207.3       0.7831
   TERMINAL TOTAL  -487.1 +j   -386.9      622.0       0.7831
0         0         0.0 +j      0.0        0.0       1.0000
0         0         0.0 +j      0.0        0.0       1.0000
0         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.0 +j      0.0        0.0       1.0000

ELEMENT = "Transformer.TRAFO_5"
5         1         0.1 +j      0.1        0.1       0.7731
5         2         0.1 +j      0.1        0.1       0.7731
5         3         0.1 +j      0.1        0.1       0.7731
5         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.3 +j      0.2        0.4       0.7731
5BT       1        -0.1 +j     -0.1        0.1       0.7733
5BT       2        -0.1 +j     -0.1        0.1       0.7733
5BT       3        -0.1 +j     -0.1        0.1       0.7733
5BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.3 +j     -0.2        0.4       0.7733

ELEMENT = "Transformer.TRAFO_6"
6         1         1.5 +j      1.1        1.9       0.8013
6         2         1.5 +j      1.1        1.9       0.8013
6         3         1.5 +j      1.1        1.9       0.8013
6         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     4.6 +j      3.4        5.7       0.8013
6BT       1        -1.5 +j     -1.1        1.9       0.8031
6BT       2        -1.5 +j     -1.1        1.9       0.8031
6BT       3        -1.5 +j     -1.1        1.9       0.8031
6BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -4.6 +j     -3.4        5.7       0.8031

ELEMENT = "Transformer.TRAFO_7"
7         1         2.8 +j      2.0        3.5       0.8119
7         2         2.8 +j      2.0        3.5       0.8119
7         3         2.8 +j      2.0        3.5       0.8119
7         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     8.5 +j      6.1       10.4       0.8119
7BT       1        -2.8 +j     -2.0        3.5       0.8132
7BT       2        -2.8 +j     -2.0        3.5       0.8132
7BT       3        -2.8 +j     -2.0        3.5       0.8132
7BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -8.5 +j     -6.1       10.4       0.8132

ELEMENT = "Transformer.TRAFO_8"
8         1         1.1 +j      0.8        1.4       0.8099
8         2         1.1 +j      0.8        1.4       0.8099
8         3         1.1 +j      0.8        1.4       0.8099
8         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     3.4 +j      2.5        4.2       0.8099
8BT       1        -1.1 +j     -0.8        1.4       0.8112
8BT       2        -1.1 +j     -0.8        1.4       0.8112
8BT       3        -1.1 +j     -0.8        1.4       0.8112
8BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -3.4 +j     -2.5        4.2       0.8112

ELEMENT = "Transformer.TRAFO_9"
9         1         1.1 +j      0.8        1.3       0.8125
9         2         1.1 +j      0.8        1.3       0.8125
9         3         1.1 +j      0.8        1.3       0.8125
9         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     3.2 +j      2.3        3.9       0.8125
9BT       1        -1.1 +j     -0.8        1.3       0.8138
9BT       2        -1.1 +j     -0.8        1.3       0.8138
9BT       3        -1.1 +j     -0.8        1.3       0.8138
9BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -3.2 +j     -2.3        3.9       0.8138

ELEMENT = "Transformer.TRAFO_10"
10        1         5.5 +j      4.0        6.8       0.8115
10        2         5.5 +j      4.0        6.8       0.8115
10        3         5.5 +j      4.0        6.8       0.8115
10        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    16.5 +j     11.9       20.3       0.8115
10BT      1        -5.5 +j     -3.9        6.8       0.8140
10BT      2        -5.5 +j     -3.9        6.8       0.8140
10BT      3        -5.5 +j     -3.9        6.8       0.8140
10BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -16.5 +j    -11.8       20.3       0.8140

ELEMENT = "Transformer.TRAFO_11"
11        1         5.5 +j      4.0        6.8       0.8115
11        2         5.5 +j      4.0        6.8       0.8115
11        3         5.5 +j      4.0        6.8       0.8115
11        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    16.5 +j     11.9       20.3       0.8115
11BT      1        -5.5 +j     -3.9        6.8       0.8140
11BT      2        -5.5 +j     -3.9        6.8       0.8140
11BT      3        -5.5 +j     -3.9        6.8       0.8140
11BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -16.5 +j    -11.8       20.3       0.8140

ELEMENT = "Transformer.TRAFO_12"
12        1         0.3 +j      0.2        0.4       0.8297
12        2         0.3 +j      0.2        0.4       0.8297
12        3         0.3 +j      0.2        0.4       0.8297
12        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.9 +j      0.6        1.1       0.8297
12BT      1        -0.3 +j     -0.2        0.4       0.8300
12BT      2        -0.3 +j     -0.2        0.4       0.8300
12BT      3        -0.3 +j     -0.2        0.4       0.8300
12BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.9 +j     -0.6        1.1       0.8300

ELEMENT = "Transformer.TRAFO_13"
13        1         0.3 +j      0.2        0.4       0.8297
13        2         0.3 +j      0.2        0.4       0.8297
13        3         0.3 +j      0.2        0.4       0.8297
13        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.9 +j      0.6        1.1       0.8297
13BT      1        -0.3 +j     -0.2        0.4       0.8300
13BT      2        -0.3 +j     -0.2        0.4       0.8300
13BT      3        -0.3 +j     -0.2        0.4       0.8300
13BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.9 +j     -0.6        1.1       0.8300

ELEMENT = "Transformer.TRAFO_15"
15        1         1.7 +j      1.2        2.1       0.8281
15        2         1.7 +j      1.2        2.1       0.8281
15        3         1.7 +j      1.2        2.1       0.8281
15        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     5.2 +j      3.5        6.2       0.8281
15BT      1        -1.7 +j     -1.2        2.1       0.8300
15BT      2        -1.7 +j     -1.2        2.1       0.8300
15BT      3        -1.7 +j     -1.2        2.1       0.8300
15BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -5.2 +j     -3.5        6.2       0.8300

ELEMENT = "Transformer.TRAFO_16"
16        1         1.9 +j      1.3        2.3       0.8118
16        2         1.9 +j      1.3        2.3       0.8118
16        3         1.9 +j      1.3        2.3       0.8118
16        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     5.6 +j      4.0        6.9       0.8118
16BT      1        -1.9 +j     -1.3        2.3       0.8140
16BT      2        -1.9 +j     -1.3        2.3       0.8140
16BT      3        -1.9 +j     -1.3        2.3       0.8140
16BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -5.6 +j     -4.0        6.9       0.8140

ELEMENT = "Transformer.TRAFO_17"
17        1         1.9 +j      1.3        2.3       0.8118
17        2         1.9 +j      1.3        2.3       0.8118
17        3         1.9 +j      1.3        2.3       0.8118
17        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     5.6 +j      4.0        6.9       0.8118
17BT      1        -1.9 +j     -1.3        2.3       0.8140
17BT      2        -1.9 +j     -1.3        2.3       0.8140
17BT      3        -1.9 +j     -1.3        2.3       0.8140
17BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -5.6 +j     -4.0        6.9       0.8140

ELEMENT = "Transformer.TRAFO_19"
19        1         0.0 +j      0.0        0.0       0.8303
19        2         0.0 +j      0.0        0.0       0.8303
19        3         0.0 +j      0.0        0.0       0.8303
19        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.1 +j      0.1        0.1       0.8303
19BT      1        -0.0 +j     -0.0        0.0       0.8304
19BT      2        -0.0 +j     -0.0        0.0       0.8304
19BT      3        -0.0 +j     -0.0        0.0       0.8304
19BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.1 +j     -0.1        0.1       0.8304

ELEMENT = "Transformer.TRAFO_20"
20        1         4.3 +j      3.1        5.3       0.8120
20        2         4.3 +j      3.1        5.3       0.8120
20        3         4.3 +j      3.1        5.3       0.8120
20        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    12.9 +j      9.3       15.9       0.8120
20BT      1        -4.3 +j     -3.1        5.3       0.8140
20BT      2        -4.3 +j     -3.1        5.3       0.8140
20BT      3        -4.3 +j     -3.1        5.3       0.8140
20BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -12.9 +j     -9.2       15.9       0.8140

ELEMENT = "Transformer.TRAFO_21"
21        1         0.2 +j      0.1        0.2       0.8298
21        2         0.2 +j      0.1        0.2       0.8298
21        3         0.2 +j      0.1        0.2       0.8298
21        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.6 +j      0.4        0.7       0.8298
21BT      1        -0.2 +j     -0.1        0.2       0.8300
