
CIRCUIT ELEMENT POWER FLOW

(Power Flow into element from indicated Bus)

Power Delivery Elements

  Bus Phase     kW     +j   kvar         kVA         PF

ELEMENT = "Vsource.SOURCE"
0         1      -192.2 +j   -152.5      245.4       0.7834
0         2      -192.2 +j   -152.5      245.4       0.7834
0         3      -192.2 +j   -152.5      245.4       0.7834
   TERMINAL TOTAL  -576.7 +j   -457.5      736.1       0.7834
0         0         0.0 +j      0.0        0.0       1.0000
0         0         0.0 +j      0.0        0.0       1.0000
0         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.0 +j      0.0        0.0       1.0000

ELEMENT = "Transformer.TRAFO_5"
5         1         0.1 +j      0.1        0.2       0.7731
5         2         0.1 +j      0.1        0.2       0.7731
5         3         0.1 +j      0.1        0.2       0.7731
5         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.4 +j      0.3        0.5       0.7731
5BT       1        -0.1 +j     -0.1        0.2       0.7733
5BT       2        -0.1 +j     -0.1        0.2       0.7733
5BT       3        -0.1 +j     -0.1        0.2       0.7733
5BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.4 +j     -0.3        0.5       0.7733

ELEMENT = "Transformer.TRAFO_6"
6         1         1.8 +j      1.3        2.2       0.8010
6         2         1.8 +j      1.3        2.2       0.8010
6         3         1.8 +j      1.3        2.2       0.8010
6         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     5.4 +j      4.0        6.7       0.8010
6BT       1        -1.8 +j     -1.3        2.2       0.8031
6BT       2        -1.8 +j     -1.3        2.2       0.8031
6BT       3        -1.8 +j     -1.3        2.2       0.8031
6BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -5.4 +j     -4.0        6.7       0.8031

ELEMENT = "Transformer.TRAFO_7"
7         1         3.3 +j      2.4        4.1       0.8117
7         2         3.3 +j      2.4        4.1       0.8117
7         3         3.3 +j      2.4        4.1       0.8117
7         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    10.0 +j      7.2       12.3       0.8117
7BT       1        -3.3 +j     -2.4        4.1       0.8132
7BT       2        -3.3 +j     -2.4        4.1       0.8132
7BT       3        -3.3 +j     -2.4        4.1       0.8132
7BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -10.0 +j     -7.1       12.2       0.8132

ELEMENT = "Transformer.TRAFO_8"
8         1         1.3 +j      1.0        1.6       0.8097
8         2         1.3 +j      1.0        1.6       0.8097
8         3         1.3 +j      1.0        1.6       0.8097
8         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     4.0 +j      2.9        4.9       0.8097
8BT       1        -1.3 +j     -1.0        1.6       0.8112
8BT       2        -1.3 +j     -1.0        1.6       0.8112
8BT       3        -1.3 +j     -1.0        1.6       0.8112
8BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -4.0 +j     -2.9        4.9       0.8112

ELEMENT = "Transformer.TRAFO_9"
9         1         1.2 +j      0.9        1.5       0.8123
9         2         1.2 +j      0.9        1.5       0.8123
9         3         1.2 +j      0.9        1.5       0.8123
9         0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     3.7 +j      2.7        4.6       0.8123
9BT       1        -1.2 +j     -0.9        1.5       0.8138
9BT       2        -1.2 +j     -0.9        1.5       0.8138
9BT       3        -1.2 +j     -0.9        1.5       0.8138
9BT       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -3.7 +j     -2.7        4.6       0.8138

ELEMENT = "Transformer.TRAFO_10"
10        1         6.5 +j      4.7        8.0       0.8110
10        2         6.5 +j      4.7        8.0       0.8110
10        3         6.5 +j      4.7        8.0       0.8110
10        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    19.4 +j     14.0       23.9       0.8110
10BT      1        -6.5 +j     -4.6        7.9       0.8140
10BT      2        -6.5 +j     -4.6        7.9       0.8140
10BT      3        -6.5 +j     -4.6        7.9       0.8140
10BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -19.4 +j    -13.8       23.8       0.8140

ELEMENT = "Transformer.TRAFO_11"
11        1         6.5 +j      4.7        8.0       0.8110
11        2         6.5 +j      4.7        8.0       0.8110
11        3         6.5 +j      4.7        8.0       0.8110
11        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    19.4 +j     14.0       23.9       0.8110
11BT      1        -6.5 +j     -4.6        7.9       0.8140
11BT      2        -6.5 +j     -4.6        7.9       0.8140
11BT      3        -6.5 +j     -4.6        7.9       0.8140
11BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -19.4 +j    -13.8       23.8       0.8140

ELEMENT = "Transformer.TRAFO_12"
12        1         0.4 +j      0.2        0.4       0.8296
12        2         0.4 +j      0.2        0.4       0.8296
12        3         0.4 +j      0.2        0.4       0.8296
12        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     1.1 +j      0.7        1.3       0.8296
12BT      1        -0.4 +j     -0.2        0.4       0.8300
12BT      2        -0.4 +j     -0.2        0.4       0.8300
12BT      3        -0.4 +j     -0.2        0.4       0.8300
12BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -1.1 +j     -0.7        1.3       0.8300

ELEMENT = "Transformer.TRAFO_13"
13        1         0.4 +j      0.2        0.4       0.8296
13        2         0.4 +j      0.2        0.4       0.8296
13        3         0.4 +j      0.2        0.4       0.8296
13        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     1.1 +j      0.7        1.3       0.8296
13BT      1        -0.4 +j     -0.2        0.4       0.8300
13BT      2        -0.4 +j     -0.2        0.4       0.8300
13BT      3        -0.4 +j     -0.2        0.4       0.8300
13BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -1.1 +j     -0.7        1.3       0.8300

ELEMENT = "Transformer.TRAFO_15"
15        1         2.0 +j      1.4        2.4       0.8277
15        2         2.0 +j      1.4        2.4       0.8277
15        3         2.0 +j      1.4        2.4       0.8277
15        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     6.1 +j      4.1        7.3       0.8277
15BT      1        -2.0 +j     -1.4        2.4       0.8300
15BT      2        -2.0 +j     -1.4        2.4       0.8300
15BT      3        -2.0 +j     -1.4        2.4       0.8300
15BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -6.1 +j     -4.1        7.3       0.8300

ELEMENT = "Transformer.TRAFO_16"
16        1         2.2 +j      1.6        2.7       0.8114
16        2         2.2 +j      1.6        2.7       0.8114
16        3         2.2 +j      1.6        2.7       0.8114
16        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     6.6 +j      4.8        8.1       0.8114
16BT      1        -2.2 +j     -1.6        2.7       0.8140
16BT      2        -2.2 +j     -1.6        2.7       0.8140
16BT      3        -2.2 +j     -1.6        2.7       0.8140
16BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -6.6 +j     -4.7        8.1       0.8140

ELEMENT = "Transformer.TRAFO_17"
17        1         2.2 +j      1.6        2.7       0.8114
17        2         2.2 +j      1.6        2.7       0.8114
17        3         2.2 +j      1.6        2.7       0.8114
17        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     6.6 +j      4.8        8.1       0.8114
17BT      1        -2.2 +j     -1.6        2.7       0.8140
17BT      2        -2.2 +j     -1.6        2.7       0.8140
17BT      3        -2.2 +j     -1.6        2.7       0.8140
17BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -6.6 +j     -4.7        8.1       0.8140

ELEMENT = "Transformer.TRAFO_19"
19        1         0.0 +j      0.0        0.1       0.8303
19        2         0.0 +j      0.0        0.1       0.8303
19        3         0.0 +j      0.0        0.1       0.8303
19        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.1 +j      0.1        0.2       0.8303
19BT      1        -0.0 +j     -0.0        0.1       0.8304
19BT      2        -0.0 +j     -0.0        0.1       0.8304
19BT      3        -0.0 +j     -0.0        0.1       0.8304
19BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.1 +j     -0.1        0.2       0.8304

ELEMENT = "Transformer.TRAFO_20"
20        1         5.1 +j      3.6        6.2       0.8117
20        2         5.1 +j      3.6        6.2       0.8117
20        3         5.1 +j      3.6        6.2       0.8117
20        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    15.2 +j     10.9       18.7       0.8117
20BT      1        -5.1 +j     -3.6        6.2       0.8140
20BT      2        -5.1 +j     -3.6        6.2       0.8140
20BT      3        -5.1 +j     -3.6        6.2       0.8140
20BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -15.2 +j    -10.8       18.7       0.8140

ELEMENT = "Transformer.TRAFO_21"
21        1         0.2 +j      0.2        0.3       0.8297
21        2         0.2 +j      0.2        0.3       0.8297
21        3         0.2 +j      0.2        0.3       0.8297
21        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.7 +j      0.5        0.8       0.8297
21BT      1        -0.2 +j     -0.2        0.3       0.8300
